name,location,tele,CityName,latlon
嘉義區營業處,嘉義市垂楊路223號,05-2226711,嘉義市,"23.474034,120.45512299999996"
朴子服務所,嘉義縣朴子市安福里光復路42號,05-3792029,嘉義縣,"23.465773,120.24644480000006"
民雄服務所,嘉義縣民雄鄉東湖村東勢湖86-8號,05-2261251,嘉義縣,"23.5540432,120.43514540000001"
新港服務所,嘉義縣新港鄉宮前村中山路39號,05-3742048,嘉義縣,"23.5553592,120.347759"
水上服務所,嘉義縣水上鄉中山路2段23號,05-2682016,嘉義縣,"23.428042,120.39416600000004"
太保服務所,嘉義縣太保市太保里太保102號,05-3711009,嘉義縣,"23.460513,120.33351100000004"
中埔服務所,嘉義縣中埔鄉中埔村170-1號,05-2531004,嘉義縣,"23.4241035,120.52223430000004"
竹崎服務所,嘉義縣竹崎鄉和平村田寮99號,05-2611003,嘉義縣,"23.517947,120.54876200000001"
大林服務所,嘉義縣大林鎮平林里中興路274號,05-2652101,嘉義縣,"23.6025727,120.46206899999993"
溪口服務所,嘉義縣溪口鄉坪頂村中正東路102號,05-2691035,嘉義縣,"23.6054531,120.40211669999997"
梅山服務所,嘉義縣梅山鄉梅北村中山路308號,05-2621014,嘉義縣,"23.585658,120.554127"
蒜頭服務所,嘉義縣六腳鄉蒜頭村190-6號,05-3802028,嘉義縣,"23.4949598,120.29203510000002"
布袋服務所,嘉義縣布袋鎮新民里433號,05-3431040,嘉義縣,"23.3333918,120.15966189999995"
鹿草服務所,嘉義縣鹿草鄉西井村633號,05-3752040,嘉義縣,"23.4092375,120.30700839999997"
東石服務所,嘉義縣東石鄉東石村1-16號,05-3732234,嘉義縣,"23.4599346,120.15481950000003"
栗子崙服務所,嘉義縣東石鄉西崙村栗子崙640號,05-3451038,嘉義縣,"23.428242,120.188804"
義竹服務所,嘉義縣義竹鄉岸腳村59-25號,05-3412039,嘉義縣,"23.341362,120.25165400000003"
新塭服務所,嘉義縣布袋鎮新民里433號,05-3431040,嘉義縣,"23.3333918,120.15966189999995"
奮起服務所,嘉義縣竹崎鄉中和村奮起湖97-4號,05-2561036,嘉義縣,"23.5047089,120.69378089999998"
大埔服務所,嘉義縣大埔鄉大埔村大埔52-6號,05-2521074,嘉義縣,"23.29753,120.59490299999993"
阿里山服務所,嘉義縣阿里山鄉中正村阿里山69號,05-2679718,嘉義縣,"23.5128419,120.8127399"
新營區營業處,台南市新營區中正路200號,06-6335481,台南市,"23.3187029,120.31654660000004"
麻豆服務所,台南市麻豆區興國路59號,06-5722026,台南市,"23.1771519,120.24748299999999"
六甲服務所,台南市六甲區中山路339號,06-6982023,台南市,"23.2324625,120.34415289999993"
白河服務所,台南市白河區中正路347號,06-6852040,台南市,"23.3488019,120.40685699999995"
學甲服務所,台南市學甲區秀昌里下溪州16-1號,06-7833328,台南市,"23.2388759,120.17129799999998"
下營服務所,台南市下營區中山路一段435號,06-6896605,台南市,"23.2372217,120.26722970000003"
鹽水服務所,台南市鹽水區蔦松路二巷25號,06-6521035,台南市,"23.324313,120.27312200000006"
後壁服務所,台南市後壁區後壁里157-1號,06-6872144,台南市,"23.3665987,120.36371680000002"
東山服務所,台南市東山區東中里鳳安二街45號,06-6800284,台南市,"23.3211858,120.39989650000007"
隆田服務所,台南市官田區中華路二段128號,06-5791572,台南市,"23.200123,120.31613070000003"
北門服務所,台南市北門區北門里舊埕230號,06-7862005,台南市,"23.2649725,120.12425000000007"
大內服務所,台南市大內區大內里1-6號,06-5761031,台南市,"23.118891,120.360411"
東原服務所,台南市東山區東原里前大埔1-14號,06-6861071,台南市,"23.267069,120.44688399999995"
台南區營業處,台南市忠義路一段109號,06-2160121,台南市,"22.9878578,120.20146060000002"
永康服務所,台南市永康區永明街43號,06-2326641,台南市,"23.0257678,120.25955620000002"
安南服務所,台南市海佃路二段721號,06-2567291,台南市,"23.046654,120.18401100000005"
佳里服務所,台南市佳里區安西里安西120之3號,06-7222047,台南市,"23.1646055,120.17128849999995"
和順服務所,台南市安南區館前一路180號,06-3565097,台南市,"23.055292,120.23177039999996"
仁德服務所,台南市仁德區中正路二段496號,06-2794135,台南市,"22.9548072,120.25236359999997"
善化服務所,台南市善化區大成路321號,06-5839642,台南市,"23.1296277,120.29811029999996"
歸仁服務所,台南市歸仁區忠孝北路336號,06-2304534,台南市,"22.9738961,120.29635340000004"
新市服務所,台南市新市區中興街21號,06-5993172,台南市,"23.0784864,120.29475490000004"
新化服務所,台南市新化區復興路209號,06-5901588,台南市,"23.032607,120.31108240000003"
關廟服務所,台南市關廟區中山路二段168號,06-5965897,台南市,"22.960349,120.32529309999995"
安定服務所,台南市安定區安定里58-5號,06-5923026,台南市,"23.1219137,120.2373331"
西港服務所,台南市西港區文化路56號,06-7952021,台南市,"23.1231662,120.2041987"
將軍服務所,台南市將軍區西華里58-45號,06-7946612,台南市,"23.196209,120.15716700000007"
玉井服務所,台南市玉井區大成路365號,06-5742041,台南市,"23.1267624,120.46868749999999"
楠西服務所,台南市楠西區民權路138號,06-5755073,台南市,"23.1797826,120.48899890000007"
山上服務所,台南市山上區山上里221-1號,06-5781056,台南市,"23.1015761,120.35602570000003"
南化服務所,台南市南化區南化里46-10號,06-5773071,台南市,"23.0444879,120.47508990000006"
三股服務所,台南市七股區三股里53-1號,06-7880324,台南市,"23.1005508,120.12004950000005"
左鎮服務所,台南市左鎮區中正里175之23號,06-5732257,台南市,"23.0567783,120.40870799999993"
高雄區營業處,高雄市鼓山區鼓山二路39號,07-5519271,高雄市,"22.632176,120.28193379999993"
楠梓服務所,高雄市楠梓區旗楠路89號,07-3513301,高雄市,"22.7327129,120.33028590000004"
岡山服務所,高雄市岡山區壽天路21號,07-6222805,高雄市,"22.7963748,120.29396739999993"
梓官服務所,高雄市梓官區梓官路360號,07-6174621,高雄市,"22.7625011,120.26687179999999"
湖內服務所,高雄市湖內區中正路二段15號,07-6991248,高雄市,"22.9084751,120.2148525"
路竹服務所,高雄市路竹區國昌路88號,07-6962136,高雄市,"22.8545469,120.25856720000002"
阿蓮服務所,高雄市阿蓮區民權路190號,07-6311158,高雄市,"22.8808388,120.32403220000003"
橋頭服務所,高雄市橋頭區成功路1號,07-6116661,高雄市,"22.7637921,120.30808839999997"
燕巢服務所,高雄市燕巢區中華路106號,07-6161079,高雄市,"22.7954267,120.36837930000002"
旗津服務所,高雄市旗津區大關路28號,07-5715131,高雄市,"22.613367,120.269812"
?山區營業處,高雄市鳳山區青年路1段100號,07-7410111,高雄市,"22.6212181,120.34962259999998"
小港服務所,高雄市小港區小港路118號6樓,07-8011225,高雄市,"22.5658188,120.34216179999999"
大寮服務所,高雄市大寮區鳳林3路328-2號,07-7812738,高雄市,"22.5402585,120.40956770000003"
仁武服務所,高雄市仁武區中正路111號,07-3711173,高雄市,"22.7017242,120.34828019999998"
林園服務所,高雄市林園區林園北路348號,07-6424101,高雄市,"22.5119826,120.39494390000004"
九曲服務所,高雄市大樹區竹寮路74號5樓,07-6512010,高雄市,"22.6671945,120.42579"
旗山服務所,高雄市旗山區旗南一路57號5樓,07-6612005,高雄市,"22.8851984,120.48000589999992"
美濃服務所,高雄市美濃區泰安路96號,07-6812034,高雄市,"22.9020541,120.54056500000002"
杉林服務所,高雄市杉林區清水路269號,07-6771120,高雄市,"22.968339,120.53360169999996"
六龜服務所,高雄市六龜區中興里中庄167號,07-6891017,高雄市,"22.9942369,120.64281490000008"
內門服務所,高雄市內門區內門里內門38號,07-6671005,高雄市,"22.9428391,120.46260600000005"
甲仙服務所,高雄市甲仙區文化路129號,07-6751016,高雄市,"23.0814794,120.5871042"
桃源服務所,高雄市桃源區南進巷181號,07-6861047,高雄市,"23.1581711,120.76418769999998"
屏東區營業處,屏東市忠孝路329號,08-7322111,屏東市,"22.6952961,120.49255840000001"
潮州服務所,屏東縣潮州鎮三星里愛國路136號,08-7894618,屏東縣,"22.5516711,120.54836539999997"
內埔服務所,屏東縣內埔鄉內埔村勝光路55號,08-7792014,屏東縣,"22.614623,120.57149000000004"
萬丹服務所,屏東縣萬丹鄉四維村丹榮路912號,08-7772061,屏東縣,"22.5978983,120.49276050000003"
里港服務所,屏東縣里港鄉春林村里中路24號,08-7752165,屏東縣,"22.772955,120.49529469999993"
東港服務所,屏東縣東港鎮興台里中山路25號,08-8322614,屏東縣,"22.4658661,120.451727"
鹽埔服務所,屏東縣鹽埔鄉鹽南村興學路19號,08-7932024,屏東縣,"22.755329,120.57493"
恆春服務所,屏東縣恆春鎮光明路97號,08-8892594,屏東縣,"22.0025752,120.74293669999997"
新園服務所,屏東縣新園鄉仙吉村仙吉路52號,08-8681014,屏東縣,"22.5410261,120.46030070000006"
枋寮服務所,屏東縣枋寮鄉新龍村中山路303號,08-8782042,屏東縣,"22.370297,120.59216700000002"
高樹服務所,屏東縣高樹鄉高樹村華光路101號,08-7962027,屏東縣,"22.825743,120.59673799999996"
萬巒服務所,屏東縣萬巒鄉萬和村褒忠路19號,08-7811936,屏東縣,"22.57184,120.57229200000006"
佳冬服務所,屏東縣佳冬鄉萬建村文化二路106號,08-8662014,屏東縣,"22.422127,120.56025199999999"
龍泉服務所,屏東縣內埔鄉龍泉村原勝路63號,08-7701124,屏東縣,"22.665983,120.59967600000004"
南州服務所,屏東縣南州鄉溪州村人和路186號,08-8641133,屏東縣,"22.487942,120.50453979999998"
林邊服務所,屏東縣林邊鄉永樂村中山路268號,08-8752009,屏東縣,"22.4365671,120.51344459999996"
車城服務所,屏東縣車城鄉田中村中山路185號,08-8823198,屏東縣,"22.0789653,120.71383590000005"
新埤服務所,屏東縣新埤鄉新埤村中正路62號,08-7971003,屏東縣,"22.4702039,120.54896200000007"
琉球服務所,屏東縣琉球鄉大福村仁愛路1-11號,08-8612506,屏東縣,"22.3385318,120.3769886"
滿州服務所,屏東縣滿州鄉滿州村中山路155號,08-8801108,屏東縣,"22.025038,120.836949"
楓港服務所,屏東縣枋山鄉善餘村德隆路12號,08-8771174,屏東縣,"22.1903736,120.69153269999993"
台東區營業處,台東市正氣路38號,089-322481,台東市,"22.7505596,121.15427479999994"
知本服務所,台東市知本路3段658號,089-512624,台東市,"22.7063827,121.04135689999998"
卑南服務所,台東縣卑南鄉太平村和平路180號,089-380911,台東縣,"22.7835194,121.08909370000003"
成功服務所,台東縣成功鎮東海路6號,089-851014,台東縣,"23.098559,121.376081"
太麻服務所,台東縣太麻里鄉太麻里街150號,089-781330,台東縣,"22.6128404,121.00650470000005"
鹿野服務所,台東縣鹿野鄉龍田村光榮路539號,089-551038,台東縣,"22.904141,121.10411799999997"
池上服務所,台東縣池上鄉中山路60號,089-862005,台東縣,"23.1207432,121.21307409999997"
關山服務所,台東縣關山鎮和平路138號,089-811030,台東縣,"23.0503377,121.16513170000007"
都蘭服務所,台東縣東河鄉都蘭村378號,089-531075,台東縣,"22.8768199,121.22842029999993"
大武服務所,台東縣大武鄉尚武村10號,089-791002,台東縣,"22.3415332,120.89446380000004"
東河服務所,台東縣東河鄉南東河121號,089-896150,台東縣,"22.9674002,121.3014789"
長濱服務所,台東縣長濱鄉長濱村1號,089-831018,台東縣,"23.3146428,121.45114590000003"
蘭嶼發電廠,台東縣蘭嶼鄉紅頭村漁人145號,089-732003,台東縣,"22.0260216,121.5400065"
綠島發電廠,台東縣綠島鄉南寮村漁港12號,089-672584,台東縣,"22.6614645,121.47412299999996"
花蓮區營業處,花蓮市中山路238號,03-8324101,花蓮市,"23.9797127,121.60742040000002"
吉安服務所,花蓮縣吉安鄉勝安村北安街85號,03-8520285,花蓮縣,"23.9849019,121.58201200000008"
玉里服務所,花蓮縣玉里鎮光復路104號,03-8886075,花蓮縣,"23.3315431,121.31450569999993"
壽豐服務所,花蓮縣壽豐鄉公園路42號 ,03-8651003,花蓮縣,"23.8714538,121.50796880000007"
北埔服務所,花蓮縣新城鄉北埔路145號 ,03-8262449,花蓮縣,"24.0310658,121.60496690000002"
瑞穗服務所,花蓮縣瑞穗鄉中山路2段17號,03-8872049,花蓮縣,"23.495589,121.38349300000004"
鳳林服務所,花蓮縣鳳林鎮光華路126號,03-8762024,花蓮縣,"23.745695,121.45179200000007"
光復服務所,花蓮縣光復鄉中華路360號,03-8701014,花蓮縣,"23.669381,121.423944"
富里服務所,花蓮縣富里鄉和平街22號 ,03-8831045,花蓮縣,"23.1724612,121.24660399999993"
新城服務所,花蓮縣新城鄉新興3路119號,03-8611005,花蓮縣,"24.1275769,121.641573"
豐濱服務所,花蓮縣豐濱鄉光豐路46號  ,03-8791128,花蓮縣,"23.6017729,121.52073050000001"
和平服務所,花蓮縣秀林鄉和平村和平208之83號,03-8681045,花蓮縣,"24.3055107,121.74832170000002"
宜蘭區營業處,宜蘭市舊城西路111號,03-9354800,宜蘭市,"24.7602488,121.75026260000004"
羅東服務所,宜蘭縣羅東鎮中正北路93號,03-9542154,宜蘭縣,"24.681783,121.77116799999999"
礁溪服務所,宜蘭縣礁溪鄉中山路二段111號,03-9882525,宜蘭縣,"24.826072,121.77270499999997"
蘇澳服務所,宜蘭縣蘇澳鎮中山路一段446號,03-9962057,宜蘭縣,"24.5964167,121.83985819999998"
員山服務所,宜蘭縣員山鄉溫泉路8號,03-9771014,宜蘭縣,"24.7495536,121.71372680000002"
頭城服務所,宜蘭縣頭城鎮吉祥路21號,03-9222964,宜蘭縣,"24.855907,121.82208300000002"
過嶺服務所,宜蘭縣壯圍鄉永鎮路1號,03-9301963,宜蘭縣,"24.7640631,121.81565599999999"
利澤服務所,宜蘭縣五結鄉利成路二段388號,03-9504693,宜蘭縣,"24.6659559,121.82307020000007"
三星服務所,宜蘭縣三星鄉三星路五段60號,03-9892023,宜蘭縣,"24.6661401,121.65187600000002"
冬山服務所,宜蘭縣冬山鄉中正路展南2巷3號,03-9593531,宜蘭縣,"24.636411,121.79090999999994"
南澳服務所,宜蘭縣南澳鄉蘇花路二段227號,03-9981057,宜蘭縣,"24.4644078,121.79961720000006"
大同服務所,宜蘭縣大同鄉泰雅路四段45號,03-9809600,宜蘭縣,"24.574779,121.47672699999998"
澎湖區營業處,澎湖縣馬公市西文里120號,06-9213111,澎湖縣,"23.5694824,119.58544030000007"
湖西服務所,巡迴服務所,06-9213111,澎湖縣,"23.568870, 119.664408"
白沙服務所,巡迴服務所,06-9213111,澎湖縣,"23.612253, 119.606265"
西嶼服務所,巡迴服務所,06-9213111,澎湖縣,"23.566530, 119.569994"
七美發電廠,澎湖縣七美鄉南港村1-3號,06-9971002,澎湖縣,"23.193587, 119.422058"
望安發電廠,澎湖縣望安鄉東安村4-1號,06-9991046,澎湖縣,"23.359625, 119.507322"
虎井發電廠,澎湖縣馬公市虎井里135號,06-9291049,澎湖縣,"23.4869542,119.51815149999993"
金門區營業處,金門縣金城鎮民生路70號,082-325506,金門縣,"24.4381243,118.31796489999999"
烈嶼服務所,金門縣烈嶼鄉東林麒麟山莊,082-362118,金門縣,"24.430428, 118.251081"
馬祖區營業處,連江縣南竿鄉介壽村259號,0836-26300,連江縣,"26.157814,119.95090800000003"
北竿服務所,連江縣北竿鄉塘歧村22號,0836-55327,連江縣,"26.224849,119.99616700000001"
東引發電廠,連江縣東引鄉樂華村165號,0836-77081,連江縣,"26.361104,120.49051499999996"
西莒發電廠,連江縣莒光鄉田沃村77號(含東莒地區),0836-88135,連江縣,"25.9737,119.93549800000005"